EmployeeNumber,Age,AgeBand,Gender,MaritalStatus,Department,JobRole,JobLevel,SeniorityBand,MonthlyIncome,MonthlyIncomeK,AnnualIncome,SalaryBand,Attrition,AttritionBinary,AttritionRiskScore,YearsAtCompany,TenureBand,YearsInCurrentRole,YearsSinceLastPromotion,PromotionRecency,YearsWithCurrManager,NumCompaniesWorked,TotalWorkingYears,TrainingTimesLastYear,JobSatisfaction,JobSatisfactionLabel,EnvironmentSatisfaction,EnvironmentSatisfactionLabel,WorkLifeBalance,WorkLifeBalanceLabel,PerformanceRating,PerformanceLabel,OverTime,OvertimeBinary,BusinessTravel,DistanceFromHome,DistanceBand,Education,EducationField,StockOptionLevel,PercentSalaryHike,RelationshipSatisfaction,JobInvolvement
1106,25,18-25,Male,Married,Research & Development,Laboratory Technician,1,Junior,3691,3.69,44292,Medium (3-6K),Yes,1,0.847,7,6-10 yrs,7,5,3-5 yrs,6,1,7,3,4,Very High,4,Very High,4,Best,3,Excellent,Yes,1,Travel_Rarely,4,Near (1-5),1,Technical Degree,1,15,2,3
1107,26,26-35,Male,Divorced,Research & Development,Laboratory Technician,1,Junior,2377,2.38,28524,Low (<3K),Yes,1,1.822,1,0-2 yrs,1,0,Just Promoted,0,1,1,0,3,High,1,Low,2,Good,4,Outstanding,No,0,Travel_Rarely,21,Far (16+),3,Medical,1,20,3,3
1108,33,26-35,Male,Single,Research & Development,Research Scientist,1,Junior,2313,2.31,27756,Low (<3K),Yes,1,2.15,2,0-2 yrs,2,2,1-2 yrs,2,4,5,0,2,Medium,1,Low,3,Better,4,Outstanding,Yes,1,Travel_Rarely,25,Far (16+),3,Medical,0,20,2,2
1109,42,36-45,Male,Married,Research & Development,Manager,4,Lead,17665,17.66,211980,Very High (10K+),No,0,1.594,22,20+ yrs,6,13,5+ yrs,7,0,23,3,1,Low,4,Very High,3,Better,3,Excellent,No,0,Travel_Rarely,2,Near (1-5),2,Medical,1,17,4,3
1111,28,26-35,Male,Divorced,Research & Development,Laboratory Technician,1,Junior,2596,2.6,31152,Low (<3K),Yes,1,1.853,1,0-2 yrs,0,0,Just Promoted,0,1,1,2,2,Medium,1,Low,3,Better,3,Excellent,No,0,Travel_Frequently,1,Near (1-5),3,Medical,2,15,1,2
1113,50,46-55,Male,Single,Sales,Sales Executive,2,Mid-Level,4728,4.73,56736,Medium (3-6K),Yes,1,1.203,0,0-2 yrs,0,0,Just Promoted,0,3,5,4,3,High,4,Very High,3,Better,3,Excellent,Yes,1,Travel_Frequently,1,Near (1-5),4,Other,0,14,4,3
1114,33,26-35,Female,Married,Sales,Sales Executive,2,Mid-Level,4302,4.3,51624,Medium (3-6K),No,0,1.274,3,3-5 yrs,2,0,Just Promoted,2,0,4,3,2,Medium,4,Very High,3,Better,3,Excellent,No,0,Travel_Frequently,7,Medium (6-15),3,Life Sciences,1,17,3,3
1115,34,26-35,Male,Married,Research & Development,Research Scientist,1,Junior,2979,2.98,35748,Low (<3K),No,0,0.96,0,0-2 yrs,0,0,Just Promoted,0,3,6,2,4,Very High,3,High,3,Better,3,Excellent,No,0,Non-Travel,3,Near (1-5),4,Life Sciences,3,17,4,2
1116,48,46-55,Male,Single,Research & Development,Manager,4,Lead,16885,16.89,202620,Very High (10K+),No,0,1.517,5,3-5 yrs,4,2,1-2 yrs,1,2,27,3,4,Very High,1,Low,2,Good,4,Outstanding,No,0,Non-Travel,1,Near (1-5),4,Medical,0,22,3,4
1117,45,36-45,Female,Married,Sales,Sales Executive,2,Mid-Level,5593,5.59,67116,Medium (3-6K),No,0,1.458,15,11-20 yrs,10,4,3-5 yrs,12,1,15,2,3,High,2,Medium,3,Better,3,Excellent,No,0,Non-Travel,9,Medium (6-15),4,Life Sciences,1,13,4,2
1118,52,46-55,Male,Single,Research & Development,Healthcare Representative,3,Senior,10445,10.44,125340,Very High (10K+),No,0,1.701,8,6-10 yrs,6,4,3-5 yrs,0,7,18,4,2,Medium,2,Medium,3,Better,3,Excellent,No,0,Travel_Rarely,7,Medium (6-15),4,Life Sciences,0,19,4,3
1119,38,36-45,Male,Divorced,Sales,Sales Executive,3,Senior,8740,8.74,104880,High (6-10K),No,0,1.448,8,6-10 yrs,7,2,1-2 yrs,7,0,9,2,3,High,3,High,3,Better,3,Excellent,Yes,1,Travel_Rarely,10,Medium (6-15),4,Marketing,2,14,2,2
1120,29,26-35,Female,Divorced,Research & Development,Research Scientist,1,Junior,2514,2.51,30168,Low (<3K),No,0,1.053,7,6-10 yrs,5,1,1-2 yrs,7,4,11,1,4,Very High,3,High,3,Better,4,Outstanding,No,0,Travel_Rarely,28,Far (16+),4,Life Sciences,1,22,1,3
1121,28,26-35,Female,Divorced,Research & Development,Manufacturing Director,3,Senior,7655,7.66,91860,High (6-10K),No,0,1.417,9,6-10 yrs,7,1,1-2 yrs,7,0,10,3,2,Medium,4,Very High,2,Good,3,Excellent,No,0,Travel_Rarely,3,Near (1-5),3,Medical,3,17,2,3
1124,46,46-55,Male,Married,Sales,Manager,4,Lead,17465,17.46,209580,Very High (10K+),No,0,1.637,12,11-20 yrs,9,4,3-5 yrs,9,3,23,3,3,High,1,Low,3,Better,3,Excellent,No,0,Travel_Rarely,3,Near (1-5),1,Marketing,1,12,4,3
1125,38,36-45,Male,Single,Sales,Sales Executive,3,Senior,7351,7.35,88212,High (6-10K),No,0,1.257,1,0-2 yrs,0,0,Just Promoted,0,7,10,2,2,Medium,4,Very High,3,Better,3,Excellent,No,0,Travel_Rarely,2,Near (1-5),2,Marketing,0,16,3,3
1126,43,36-45,Female,Married,Research & Development,Manufacturing Director,3,Senior,10820,10.82,129840,Very High (10K+),No,0,1.793,8,6-10 yrs,7,0,Just Promoted,1,8,18,1,1,Low,3,High,3,Better,3,Excellent,No,0,Travel_Frequently,27,Far (16+),3,Life Sciences,1,11,3,3
1127,39,36-45,Male,Divorced,Research & Development,Healthcare Representative,4,Lead,12169,12.17,146028,Very High (10K+),Yes,1,1.43,18,11-20 yrs,7,11,5+ yrs,5,7,21,4,4,Very High,1,Low,3,Better,3,Excellent,No,0,Travel_Frequently,2,Near (1-5),3,Life Sciences,3,11,4,3
1128,40,36-45,Male,Single,Research & Development,Research Director,5,Director,19626,19.63,235512,Very High (10K+),No,0,1.125,20,11-20 yrs,7,4,3-5 yrs,9,1,21,2,3,High,3,High,4,Best,3,Excellent,No,0,Travel_Rarely,14,Medium (6-15),3,Medical,0,14,1,2
1131,21,18-25,Female,Single,Research & Development,Research Scientist,1,Junior,2070,2.07,24840,Low (<3K),No,0,1.317,2,0-2 yrs,2,2,1-2 yrs,2,1,2,6,2,Medium,4,Very High,4,Best,3,Excellent,Yes,1,Travel_Rarely,1,Near (1-5),1,Technical Degree,0,11,3,2
1132,39,36-45,Male,Single,Research & Development,Laboratory Technician,2,Mid-Level,6782,6.78,81384,High (6-10K),No,0,1.631,5,3-5 yrs,4,0,Just Promoted,3,9,9,2,2,Medium,3,High,2,Good,3,Excellent,No,0,Non-Travel,9,Medium (6-15),3,Life Sciences,0,15,3,3
1133,36,36-45,Male,Single,Research & Development,Manufacturing Director,2,Mid-Level,7779,7.78,93348,High (6-10K),No,0,1.412,11,11-20 yrs,9,0,Just Promoted,9,2,18,0,4,Very High,1,Low,3,Better,4,Outstanding,No,0,Non-Travel,18,Far (16+),4,Life Sciences,0,20,1,3
1135,31,26-35,Male,Married,Sales,Sales Representative,1,Junior,2791,2.79,33492,Low (<3K),No,0,1.032,2,0-2 yrs,2,2,1-2 yrs,2,0,3,4,4,Very High,3,High,3,Better,3,Excellent,No,0,Travel_Frequently,20,Far (16+),3,Life Sciences,1,12,1,4
1136,28,26-35,Male,Married,Research & Development,Research Scientist,1,Junior,3201,3.2,38412,Medium (3-6K),No,0,2.157,5,3-5 yrs,3,0,Just Promoted,4,0,6,2,2,Medium,1,Low,1,Bad,3,Excellent,No,0,Travel_Rarely,2,Near (1-5),1,Life Sciences,0,17,1,2
1137,35,26-35,Male,Divorced,Sales,Sales Executive,2,Mid-Level,4968,4.97,59616,Medium (3-6K),No,0,0.788,5,3-5 yrs,2,0,Just Promoted,2,1,5,3,4,Very High,4,Very High,3,Better,3,Excellent,No,0,Travel_Frequently,11,Medium (6-15),2,Marketing,1,11,4,3
1138,49,46-55,Male,Married,Sales,Sales Executive,4,Lead,13120,13.12,157440,Very High (10K+),No,0,1.291,9,6-10 yrs,8,2,1-2 yrs,3,6,22,3,2,Medium,4,Very High,3,Better,3,Excellent,No,0,Travel_Rarely,8,Medium (6-15),4,Technical Degree,1,17,2,2
1140,34,26-35,Male,Single,Research & Development,Manufacturing Director,2,Mid-Level,4033,4.03,48396,Medium (3-6K),No,0,1.157,3,3-5 yrs,2,0,Just Promoted,2,2,5,3,3,High,4,Very High,2,Good,3,Excellent,No,0,Travel_Frequently,2,Near (1-5),2,Life Sciences,0,11,4,3
1143,29,26-35,Female,Divorced,Research & Development,Research Scientist,1,Junior,3291,3.29,39492,Medium (3-6K),No,0,1.441,7,6-10 yrs,5,1,1-2 yrs,1,0,8,2,2,Medium,4,Very High,2,Good,3,Excellent,No,0,Travel_Frequently,10,Medium (6-15),3,Life Sciences,2,14,4,3
1148,42,36-45,Male,Single,Research & Development,Laboratory Technician,2,Mid-Level,4272,4.27,51264,Medium (3-6K),No,0,1.25,1,0-2 yrs,0,0,Just Promoted,0,4,16,3,4,Very High,2,Medium,3,Better,3,Excellent,No,0,Travel_Rarely,29,Far (16+),3,Medical,0,19,1,1
1150,29,26-35,Male,Married,Research & Development,Manufacturing Director,2,Mid-Level,5056,5.06,60672,Medium (3-6K),No,0,1.534,10,6-10 yrs,7,1,1-2 yrs,2,1,10,2,4,Very High,2,Medium,2,Good,3,Excellent,Yes,1,Travel_Rarely,8,Medium (6-15),1,Medical,1,15,3,2
1152,38,36-45,Male,Married,Human Resources,Human Resources,1,Junior,2844,2.84,34128,Low (<3K),No,0,1.087,7,6-10 yrs,6,5,3-5 yrs,0,1,7,2,3,High,3,High,4,Best,3,Excellent,No,0,Travel_Rarely,1,Near (1-5),3,Human Resources,1,13,4,4
1154,28,26-35,Male,Divorced,Research & Development,Research Scientist,1,Junior,2703,2.7,32436,Low (<3K),No,0,1.421,3,3-5 yrs,1,0,Just Promoted,2,1,3,2,3,High,3,High,3,Better,3,Excellent,Yes,1,Travel_Frequently,6,Medium (6-15),3,Life Sciences,1,14,4,2
1156,18,18-25,Male,Single,Research & Development,Laboratory Technician,1,Junior,1904,1.9,22848,Low (<3K),Yes,1,1.228,0,0-2 yrs,0,0,Just Promoted,0,1,0,0,3,High,3,High,3,Better,3,Excellent,No,0,Non-Travel,8,Medium (6-15),1,Medical,0,12,4,3
1157,33,26-35,Female,Single,Sales,Sales Executive,2,Mid-Level,8224,8.22,98688,High (6-10K),Yes,1,2.331,5,3-5 yrs,2,0,Just Promoted,3,0,6,3,1,Low,1,Low,3,Better,3,Excellent,Yes,1,Travel_Rarely,9,Medium (6-15),4,Marketing,0,17,1,3
1158,41,36-45,Male,Married,Research & Development,Laboratory Technician,1,Junior,4766,4.77,57192,Medium (3-6K),No,0,1.391,1,0-2 yrs,0,0,Just Promoted,0,3,6,4,4,Very High,2,Medium,3,Better,3,Excellent,Yes,1,Travel_Rarely,12,Medium (6-15),4,Life Sciences,1,11,1,3
1160,31,26-35,Male,Married,Research & Development,Laboratory Technician,1,Junior,2610,2.61,31320,Low (<3K),Yes,1,1.415,2,0-2 yrs,2,2,1-2 yrs,2,1,2,5,3,High,3,High,2,Good,3,Excellent,No,0,Travel_Frequently,15,Medium (6-15),3,Medical,1,12,3,3
1161,37,36-45,Female,Divorced,Research & Development,Healthcare Representative,2,Mid-Level,5731,5.73,68772,Medium (3-6K),No,0,1.043,6,6-10 yrs,2,1,1-2 yrs,3,7,9,2,4,Very High,3,High,3,Better,3,Excellent,No,0,Travel_Rarely,25,Far (16+),2,Medical,2,13,3,2
1162,27,26-35,Male,Married,Research & Development,Research Scientist,1,Junior,2539,2.54,30468,Low (<3K),No,0,1.034,4,3-5 yrs,2,2,1-2 yrs,2,1,4,0,3,High,4,Very High,3,Better,3,Excellent,No,0,Travel_Rarely,6,Medium (6-15),3,Life Sciences,1,13,3,2
1163,34,26-35,Female,Married,Sales,Sales Executive,2,Mid-Level,5714,5.71,68568,Medium (3-6K),No,0,1.588,6,6-10 yrs,5,1,1-2 yrs,3,1,6,3,3,High,2,Medium,2,Good,4,Outstanding,No,0,Travel_Rarely,9,Medium (6-15),1,Life Sciences,0,20,1,3
1164,35,26-35,Male,Single,Human Resources,Human Resources,1,Junior,4323,4.32,51876,Medium (3-6K),No,0,1.534,5,3-5 yrs,4,1,1-2 yrs,4,1,6,2,3,High,3,High,1,Bad,3,Excellent,No,0,Travel_Rarely,8,Medium (6-15),4,Technical Degree,0,17,2,3
1165,29,26-35,Female,Married,Sales,Sales Executive,3,Senior,7336,7.34,88032,High (6-10K),Yes,1,1.899,11,11-20 yrs,8,3,3-5 yrs,10,1,11,3,1,Low,4,Very High,1,Bad,3,Excellent,No,0,Travel_Rarely,23,Far (16+),1,Life Sciences,1,13,1,2
1166,40,36-45,Female,Single,Research & Development,Research Director,3,Senior,13499,13.5,161988,Very High (10K+),No,0,1.594,18,11-20 yrs,7,2,1-2 yrs,13,9,20,3,3,High,2,Medium,2,Good,3,Excellent,No,0,Travel_Frequently,9,Medium (6-15),4,Medical,0,17,3,3
1167,42,36-45,Male,Single,Sales,Sales Executive,4,Lead,13758,13.76,165096,Very High (10K+),Yes,1,2.178,21,20+ yrs,9,13,5+ yrs,14,0,22,2,1,Low,3,High,2,Good,3,Excellent,Yes,1,Travel_Frequently,12,Medium (6-15),3,Life Sciences,0,12,2,3
1171,42,36-45,Male,Single,Sales,Sales Executive,2,Mid-Level,5155,5.16,61860,Medium (3-6K),No,0,1.77,6,6-10 yrs,4,1,1-2 yrs,5,7,9,3,1,Low,2,Medium,4,Best,3,Excellent,No,0,Travel_Rarely,4,Near (1-5),4,Marketing,0,13,4,3
1172,35,26-35,Male,Married,Research & Development,Laboratory Technician,1,Junior,2258,2.26,27096,Low (<3K),No,0,1.01,8,6-10 yrs,0,1,1-2 yrs,7,6,10,2,3,High,4,Very High,3,Better,3,Excellent,No,0,Travel_Rarely,1,Near (1-5),4,Medical,1,12,2,2
1173,24,18-25,Male,Single,Research & Development,Laboratory Technician,1,Junior,3597,3.6,43164,Medium (3-6K),No,0,1.339,4,3-5 yrs,3,1,1-2 yrs,2,8,6,2,2,Medium,4,Very High,3,Better,4,Outstanding,No,0,Travel_Rarely,24,Far (16+),3,Medical,0,22,4,3
1175,28,26-35,Female,Married,Research & Development,Laboratory Technician,1,Junior,2515,2.52,30180,Low (<3K),Yes,1,1.341,1,0-2 yrs,1,0,Just Promoted,0,1,1,4,4,Very High,3,High,2,Good,3,Excellent,Yes,1,Travel_Rarely,12,Medium (6-15),1,Life Sciences,0,11,4,3
1177,26,26-35,Male,Married,Research & Development,Laboratory Technician,1,Junior,4420,4.42,53040,Medium (3-6K),No,0,1.36,8,6-10 yrs,7,0,Just Promoted,7,1,8,2,4,Very High,1,Low,3,Better,4,Outstanding,No,0,Travel_Rarely,3,Near (1-5),4,Medical,1,22,2,4
1179,30,26-35,Male,Married,Sales,Sales Executive,2,Mid-Level,6578,6.58,78936,High (6-10K),No,0,1.241,10,6-10 yrs,3,1,1-2 yrs,4,1,10,3,3,High,3,High,3,Better,3,Excellent,No,0,Travel_Rarely,10,Medium (6-15),3,Marketing,1,18,1,2
1180,40,36-45,Female,Married,Research & Development,Research Scientist,2,Mid-Level,4422,4.42,53064,Medium (3-6K),No,0,1.54,1,0-2 yrs,1,0,Just Promoted,0,3,16,3,4,Very High,3,High,1,Bad,3,Excellent,Yes,1,Travel_Frequently,26,Far (16+),2,Medical,1,13,4,2
1182,35,26-35,Male,Divorced,Research & Development,Manufacturing Director,3,Senior,10274,10.27,123288,Very High (10K+),No,0,1.347,7,6-10 yrs,7,6,5+ yrs,4,2,15,2,2,Medium,3,High,4,Best,3,Excellent,No,0,Travel_Rarely,2,Near (1-5),3,Life Sciences,1,18,2,2
1184,34,26-35,Male,Single,Research & Development,Healthcare Representative,2,Mid-Level,5343,5.34,64116,Medium (3-6K),No,0,1.53,13,11-20 yrs,9,4,3-5 yrs,9,0,14,3,1,Low,4,Very High,3,Better,4,Outstanding,No,0,Travel_Frequently,1,Near (1-5),3,Medical,0,20,3,2
1185,35,26-35,Male,Married,Research & Development,Laboratory Technician,1,Junior,2376,2.38,28512,Low (<3K),No,0,0.627,2,0-2 yrs,2,2,1-2 yrs,2,1,2,2,4,Very High,4,Very High,4,Best,3,Excellent,No,0,Travel_Frequently,4,Near (1-5),4,Other,1,13,2,2
1188,43,36-45,Female,Single,Sales,Sales Executive,2,Mid-Level,5346,5.35,64152,Medium (3-6K),Yes,1,1.788,4,3-5 yrs,3,1,1-2 yrs,3,8,7,2,3,High,1,Low,2,Good,3,Excellent,No,0,Travel_Rarely,9,Medium (6-15),3,Marketing,0,13,2,1
1190,32,26-35,Female,Divorced,Sales,Sales Representative,1,Junior,2827,2.83,33924,Low (<3K),No,0,1.707,1,0-2 yrs,0,0,Just Promoted,0,1,1,3,1,Low,3,High,3,Better,3,Excellent,No,0,Non-Travel,2,Near (1-5),1,Life Sciences,3,12,3,3
1191,56,55+,Female,Divorced,Research & Development,Manager,5,Director,19943,19.94,239316,Very High (10K+),No,0,1.54,5,3-5 yrs,2,4,3-5 yrs,2,4,28,2,1,Low,4,Very High,3,Better,3,Excellent,No,0,Travel_Rarely,4,Near (1-5),4,Technical Degree,1,13,4,3
1192,29,26-35,Female,Married,Research & Development,Laboratory Technician,1,Junior,3131,3.13,37572,Medium (3-6K),No,0,1.171,10,6-10 yrs,8,0,Just Promoted,8,1,10,5,4,Very High,2,Medium,3,Better,3,Excellent,No,0,Travel_Rarely,6,Medium (6-15),1,Medical,1,13,1,3
1193,19,18-25,Male,Single,Research & Development,Research Scientist,1,Junior,2552,2.55,30624,Low (<3K),No,0,1.731,1,0-2 yrs,1,0,Just Promoted,0,1,1,4,1,Low,3,High,3,Better,4,Outstanding,No,0,Travel_Rarely,9,Medium (6-15),2,Life Sciences,0,25,3,3
1195,45,36-45,Female,Married,Research & Development,Research Scientist,1,Junior,4477,4.48,53724,Medium (3-6K),No,0,1.974,3,3-5 yrs,2,0,Just Promoted,2,4,7,2,3,High,1,Low,2,Good,3,Excellent,Yes,1,Travel_Rarely,7,Medium (6-15),3,Medical,1,19,3,3
1196,37,36-45,Female,Married,Research & Development,Manufacturing Director,2,Mid-Level,6474,6.47,77688,High (6-10K),No,0,0.923,14,11-20 yrs,8,3,3-5 yrs,11,1,14,2,4,Very High,4,Very High,2,Good,3,Excellent,No,0,Travel_Rarely,1,Near (1-5),3,Life Sciences,1,13,2,2
1198,20,18-25,Male,Single,Research & Development,Laboratory Technician,1,Junior,3033,3.03,36396,Medium (3-6K),No,0,1.767,2,0-2 yrs,2,1,1-2 yrs,2,1,2,2,3,High,1,Low,2,Good,3,Excellent,No,0,Travel_Rarely,3,Near (1-5),3,Life Sciences,0,12,1,2
1200,44,36-45,Male,Single,Research & Development,Research Scientist,1,Junior,2936,2.94,35232,Low (<3K),Yes,1,1.434,6,6-10 yrs,4,0,Just Promoted,2,1,6,4,3,High,3,High,3,Better,3,Excellent,Yes,1,Travel_Rarely,10,Medium (6-15),4,Life Sciences,0,11,3,3
1201,53,46-55,Female,Divorced,Research & Development,Manager,5,Director,18606,18.61,223272,Very High (10K+),No,0,1.051,7,6-10 yrs,7,4,3-5 yrs,7,3,26,6,3,High,4,Very High,3,Better,3,Excellent,No,0,Travel_Rarely,7,Medium (6-15),2,Medical,1,18,2,3
1202,29,26-35,Female,Married,Research & Development,Research Scientist,1,Junior,2168,2.17,26016,Low (<3K),No,0,1.558,5,3-5 yrs,4,1,1-2 yrs,3,0,6,2,4,Very High,2,Medium,2,Good,3,Excellent,Yes,1,Travel_Rarely,15,Medium (6-15),1,Life Sciences,1,18,1,1
1203,22,18-25,Male,Married,Research & Development,Research Scientist,1,Junior,2853,2.85,34236,Low (<3K),Yes,1,1.16,0,0-2 yrs,0,0,Just Promoted,0,0,1,5,4,Very High,3,High,3,Better,3,Excellent,Yes,1,Travel_Frequently,3,Near (1-5),4,Life Sciences,1,11,2,2
1204,46,46-55,Female,Married,Sales,Manager,4,Lead,17048,17.05,204576,Very High (10K+),No,0,1.807,26,20+ yrs,15,15,5+ yrs,9,8,28,2,1,Low,3,High,3,Better,4,Outstanding,No,0,Travel_Rarely,2,Near (1-5),3,Marketing,0,23,1,3
1206,44,36-45,Male,Single,Research & Development,Research Scientist,1,Junior,2290,2.29,27480,Low (<3K),No,0,1.059,0,0-2 yrs,0,0,Just Promoted,0,2,6,3,3,High,4,Very High,3,Better,3,Excellent,No,0,Non-Travel,17,Far (16+),3,Life Sciences,0,13,4,1
1207,33,26-35,Male,Married,Human Resources,Human Resources,1,Junior,3600,3.6,43200,Medium (3-6K),No,0,1.414,5,3-5 yrs,4,1,1-2 yrs,4,1,5,2,3,High,2,Medium,3,Better,3,Excellent,No,0,Travel_Rarely,2,Near (1-5),3,Human Resources,1,13,4,3
1210,41,36-45,Male,Divorced,Research & Development,Research Scientist,1,Junior,2107,2.11,25284,Low (<3K),Yes,1,2.417,1,0-2 yrs,0,0,Just Promoted,0,6,5,2,1,Low,1,Low,1,Bad,3,Excellent,No,0,Non-Travel,5,Near (1-5),2,Life Sciences,1,17,1,2
1211,30,26-35,Male,Divorced,Sales,Sales Executive,2,Mid-Level,4115,4.12,49380,Medium (3-6K),No,0,1.8,4,3-5 yrs,3,0,Just Promoted,3,8,8,3,1,Low,3,High,3,Better,3,Excellent,No,0,Travel_Rarely,29,Far (16+),4,Life Sciences,3,19,3,3
1212,40,36-45,Male,Married,Sales,Sales Executive,2,Mid-Level,4327,4.33,51924,Medium (3-6K),No,0,1.657,0,0-2 yrs,0,0,Just Promoted,0,5,5,2,2,Medium,2,Medium,3,Better,3,Excellent,No,0,Travel_Frequently,2,Near (1-5),4,Medical,3,12,4,3
1215,50,46-55,Female,Married,Research & Development,Manager,4,Lead,17856,17.86,214272,Very High (10K+),No,0,1.52,2,0-2 yrs,2,2,1-2 yrs,2,2,32,3,1,Low,4,Very High,3,Better,4,Outstanding,No,0,Travel_Frequently,2,Near (1-5),3,Medical,1,22,3,3
1216,28,26-35,Male,Married,Research & Development,Laboratory Technician,1,Junior,3196,3.2,38352,Medium (3-6K),No,0,1.586,6,6-10 yrs,5,3,3-5 yrs,3,1,6,2,1,Low,4,Very High,3,Better,3,Excellent,No,0,Travel_Rarely,19,Far (16+),4,Medical,3,12,3,2
1217,46,46-55,Male,Married,Research & Development,Research Director,5,Director,19081,19.08,228972,Very High (10K+),No,0,1.302,4,3-5 yrs,2,0,Just Promoted,3,5,25,2,2,Medium,4,Very High,3,Better,3,Excellent,No,0,Travel_Rarely,15,Medium (6-15),2,Life Sciences,1,11,1,3
1218,35,26-35,Male,Married,Sales,Sales Executive,2,Mid-Level,8966,8.97,107592,High (6-10K),No,0,1.965,7,6-10 yrs,7,1,1-2 yrs,7,3,15,2,1,Low,3,High,3,Better,3,Excellent,Yes,1,Travel_Rarely,17,Far (16+),4,Life Sciences,3,15,4,3
1219,24,18-25,Female,Married,Research & Development,Laboratory Technician,1,Junior,2210,2.21,26520,Low (<3K),Yes,1,1.609,1,0-2 yrs,0,0,Just Promoted,0,1,1,3,2,Medium,4,Very High,1,Bad,3,Excellent,No,0,Travel_Rarely,17,Far (16+),2,Life Sciences,1,13,1,3
1220,33,26-35,Female,Married,Sales,Sales Executive,2,Mid-Level,4539,4.54,54468,Medium (3-6K),No,0,1.636,10,6-10 yrs,7,0,Just Promoted,1,1,10,3,3,High,2,Medium,2,Good,3,Excellent,No,0,Travel_Frequently,25,Far (16+),3,Medical,1,12,1,3
1221,36,36-45,Male,Divorced,Research & Development,Laboratory Technician,1,Junior,2741,2.74,32892,Low (<3K),No,0,1.227,7,6-10 yrs,7,1,1-2 yrs,7,1,7,4,3,High,3,High,3,Better,3,Excellent,No,0,Travel_Rarely,6,Medium (6-15),4,Life Sciences,1,14,3,1
1224,30,26-35,Male,Divorced,Research & Development,Laboratory Technician,2,Mid-Level,3491,3.49,41892,Medium (3-6K),No,0,1.427,10,6-10 yrs,7,8,5+ yrs,9,1,10,4,3,High,3,High,2,Good,3,Excellent,No,0,Travel_Rarely,7,Medium (6-15),4,Life Sciences,3,13,1,3
1225,44,36-45,Male,Single,Research & Development,Research Scientist,2,Mid-Level,4541,4.54,54492,Medium (3-6K),No,0,0.937,20,11-20 yrs,11,13,5+ yrs,17,1,20,3,4,Very High,4,Very High,3,Better,4,Outstanding,No,0,Travel_Rarely,29,Far (16+),4,Other,0,25,2,3
1226,20,18-25,Male,Single,Sales,Sales Representative,1,Junior,2678,2.68,32136,Low (<3K),No,0,1.036,2,0-2 yrs,1,2,1-2 yrs,2,1,2,2,4,Very High,3,High,3,Better,3,Excellent,No,0,Travel_Rarely,21,Far (16+),3,Marketing,0,17,4,4
1228,46,46-55,Male,Divorced,Research & Development,Manufacturing Director,2,Mid-Level,7379,7.38,88548,High (6-10K),No,0,0.914,6,6-10 yrs,3,1,1-2 yrs,4,2,12,3,4,Very High,4,Very High,2,Good,3,Excellent,No,0,Travel_Rarely,2,Near (1-5),4,Technical Degree,1,11,3,3
1231,42,36-45,Male,Married,Human Resources,Human Resources,2,Mid-Level,6272,6.27,75264,High (6-10K),No,0,1.357,4,3-5 yrs,3,0,Just Promoted,3,7,10,3,1,Low,4,Very High,4,Best,3,Excellent,No,0,Non-Travel,2,Near (1-5),5,Medical,1,16,1,4
1233,60,55+,Male,Divorced,Sales,Sales Executive,2,Mid-Level,5220,5.22,62640,Medium (3-6K),No,0,1.381,11,11-20 yrs,7,1,1-2 yrs,9,0,12,3,4,Very High,2,Medium,3,Better,3,Excellent,Yes,1,Travel_Rarely,7,Medium (6-15),4,Marketing,1,18,2,4
1234,32,26-35,Female,Married,Research & Development,Laboratory Technician,1,Junior,2743,2.74,32916,Low (<3K),No,0,1.508,2,0-2 yrs,2,2,1-2 yrs,2,1,2,2,2,Medium,3,High,3,Better,4,Outstanding,No,0,Travel_Frequently,13,Medium (6-15),3,Other,1,20,3,2
1235,32,26-35,Female,Single,Research & Development,Research Scientist,2,Mid-Level,4998,5.0,59976,Medium (3-6K),No,0,1.207,8,6-10 yrs,7,0,Just Promoted,7,4,10,2,3,High,4,Very High,3,Better,3,Excellent,Yes,1,Travel_Frequently,2,Near (1-5),2,Life Sciences,0,14,4,3
1237,36,36-45,Female,Divorced,Research & Development,Manufacturing Director,3,Senior,10252,10.25,123024,Very High (10K+),No,0,1.95,7,6-10 yrs,7,7,5+ yrs,7,2,17,2,1,Low,3,High,3,Better,4,Outstanding,Yes,1,Travel_Rarely,1,Near (1-5),3,Technical Degree,1,21,3,1
1238,33,26-35,Male,Married,Research & Development,Research Scientist,1,Junior,2781,2.78,33372,Low (<3K),No,0,1.408,14,11-20 yrs,10,4,3-5 yrs,10,0,15,5,4,Very High,1,Low,3,Better,3,Excellent,No,0,Travel_Rarely,9,Medium (6-15),3,Medical,1,13,2,3
1239,40,36-45,Female,Divorced,Sales,Sales Executive,2,Mid-Level,6852,6.85,82224,High (6-10K),No,0,1.541,5,3-5 yrs,1,1,1-2 yrs,3,7,7,2,2,Medium,2,Medium,4,Best,3,Excellent,No,0,Travel_Rarely,10,Medium (6-15),3,Technical Degree,1,12,2,2
